PCA1,PCA2,Cluster,idx,smiles
1.102272078261731,0.5700156182047079,1,154,N#CC1(C#N)O[P-](F)(F)(F)(N(=O)=O)OC1(C#N)C#N
-1.6703342268979526,1.7113547225994383,3,155,FC(F)(F)[P-](F)(F)(F)(C(F)(F)F)C(F)(F)F
-0.07203143826913333,-0.8825708833630417,2,156,C(F)O[P-](F)(O(CF))(O(CF))(O(CF))O(CF)
-0.5256424486751233,0.14300294811110034,0,157,FCC1(CF)O[P-](F)(F)(F)(F)OC1(CF)CF
0.8290656388383869,0.407507156915237,1,158,N#CC1(C#N)O[P-](F)(F)(CF)(CF)OC1(C#N)C#N
2.2984588577227623,0.6544826867086442,4,159,N#CC1(C#N)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C#N)C#N
0.5064038456693468,0.8072975328707517,1,160,N#CC1(C#N)O[P-](F)(F)(F)(O(CF))OC1(C#N)C#N
0.6444040187844653,0.9483784814408214,1,161,N#CC1(C#N)O[P-](F)(F)(F)(C(F)F)OC1(C#N)C#N
-1.276994686362279,0.5025425144294942,3,162,O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
0.21993199686543347,-1.208339753344314,2,163,CC1(C)O[P-]2(F)(F)(OC1(C)C)OC(C)(C)C(C)(C)O2
0.36729402619866847,-0.47170432437404053,2,164,FCC1(CF)O[P-](F)(F)(F)(C#N)OC1(CF)CF
0.44297332293726926,-0.07007035944357856,2,165,N#CC1(C#N)O[P-](F)(O(C))(O(C))(O(C))OC1(C#N)C#N
1.042085220362141,-0.5045536170349834,2,166,CC1(C)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C)C
-0.368092491123686,0.6246129354972001,1,167,FC(F)[P-](F)(C(F)F)(C(F)F)(C(F)F)C(F)F
-0.36562331979255797,-0.4335794287741994,2,168,FCC1(CF)O[P-](F)(F)(F)(O(C))OC1(CF)CF
0.7566796707090955,-0.9150584010308436,2,169,CC1(C)O[P-]2(F)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2
-0.17813493115777146,-0.5233505599307312,2,170,FCC1(CF)O[P-](F)(F)(F)(CF)OC1(CF)CF
1.066692288653,0.08014893681293905,1,171,FCC1(CF)O[P-](F)(F)(C#N)(C#N)OC1(CF)CF
0.9396278763855177,0.5992650848194707,1,172,N#CC1(C#N)O[P-](F)(CF)(CF)(CF)OC1(C#N)C#N
-0.04254062361099341,-1.3743951240557555,2,173,CC1(C)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C)C
-0.5212634645202259,-0.0808715845530591,0,174,O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))O(C(F)F)
0.7420214490534132,0.7584234956615887,1,175,N#CC1(C#N)O[P-](F)(F)(F)(O(C(F)F))OC1(C#N)C#N
0.6876042795197379,-0.14537599999920497,2,176,N#CC1(C#N)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C#N)C#N
0.4286579640836539,-1.1646877468591021,2,177,CC1(C)O[P-]2(F)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2
1.2914820314479212,-0.5552083800149347,2,178,CC1(C)O[P-]2(C#N)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2
0.9342280873565346,0.5783858131066458,1,179,FCC1(CF)O[P-](F)(C#N)(C#N)(C#N)OC1(CF)CF
0.8859829948856385,1.125398283185949,1,180,N#CC1(C#N)O[P-](F)(F)(F)(C(F)(F)F)OC1(C#N)C#N
-0.10508851400815691,-1.0603186311276398,2,181,FCC1(CF)O[P-](F)(F)(O(C))(O(C))OC1(CF)CF
0.0025242332864043623,-0.793274970864129,2,182,CC1(C)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C)C
0.4726340591407846,-0.2865471926844941,2,183,CC1(C)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C
-1.5321106791782328,0.48990211279295676,3,184,O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))F
1.5879503866521862,0.7073506688132868,4,185,N#CC1(C#N)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N
0.4118730409552264,-0.9434065593590142,2,186,FCC1(CF)O[P-](F)(F)(F)(N(=O)=O)OC1(CF)CF
-1.374249415542378,0.5889916818183935,3,187,O=[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F
0.05937586989083034,-1.3225352276255615,2,188,FC(F)C1(C(F)F)O[P-](=O)(=O)OC1(C(F)F)C(F)F
0.3030017335223494,0.07838900675531182,1,189,CC1(C)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C)C
0.145792774542284,-0.5491361054280516,2,190,FCC1(CF)O[P-](F)(F)(CF)(CF)OC1(CF)CF
1.6837131361391873,0.5308248779183028,4,191,N#CC1(C#N)O[P-](CF)(CF)(CF)(CF)OC1(C#N)C#N
1.7262870615111858,-0.031122067823627895,4,192,FCC1(CF)O[P-](C#N)(C#N)(C#N)(C#N)OC1(CF)CF
-0.261769246941993,-0.561707317254985,0,193,O=P([O-])(OCC(F)(F)C(F)F)OCC(F)(F)C(F)F
-0.04535696137422214,-0.9000977358390077,2,194,FCC1(CF)O[P-](F)(F)(F)(O(CF))OC1(CF)CF
-0.4685332466937616,-0.2190826232111808,2,195,C(F)O[P-](O(CF))(O(CF))(O(CF))(O(CF))O(CF)
0.8531615261338317,0.3423050500088429,1,196,N#CC1(C#N)O[P-](F)(F)(O(CF))(O(CF))OC1(C#N)C#N
0.5730519862930066,-1.5745827163492567,2,197,CC1(C)O[P-]2(F)(N(=O)=O)(OC1(C)C)OC(C)(C)C(C)(C)O2
0.6204327833242688,-1.8229822581757142,2,198,CC1(C)O[P-]2(CF)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2
0.6015688295814994,1.0798662582397647,1,199,N#CC1(C#N)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C#N)C#N
0.48339477790000857,-1.4963500518873656,2,200,FCC1(CF)O[P-](F)(O(C))(O(C))(O(C))OC1(CF)CF
0.39929179251181157,-1.5328238738049083,2,201,CC1(C)O[P-]2(F)(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2
-0.8418624700778508,0.22508634213961717,0,202,O=P([O-])(OC(F)(F)C(F)(F)F)OC(F)(F)C(F)(F)F
0.9874978282558589,1.0388394446358626,1,203,N#CC1(C#N)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C#N)C#N
0.5747694614311699,-1.0424431614568466,2,204,CC1(C)O[P-]2(F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2
-0.04275822102796817,0.36162031283983326,1,205,FC(F)[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)C(F)F
-0.3199285763194862,-1.4727254283030389,2,206,FCC1(CF)O[P-](F)(CF)(CF)(CF)OC1(CF)CF
-0.10511628991927603,-1.73966614185147,2,207,FCC1(CF)O[P-](O(C))(O(C))(O(C))(O(C))OC1(CF)CF
-1.3511845632176818,1.7212082015553811,3,208,FC(F)(F)[P-](F)(F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F
-0.12116022357907105,-1.2341713880537688,2,209,FC(F)C1(C(F)F)O[P-](F)(F)(=O)OC1(C(F)F)C(F)F
2.3522924617189203,0.4775631465138579,4,210,N#CC1(C#N)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N
0.538579450638576,0.6034775495390159,1,211,FCC1(CF)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(CF)CF
0.5548786200843098,-1.2347033397607574,2,212,CC1(C)O[P-]2(F)(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2
0.2290875643742351,-0.2563348206362323,2,213,FC(F)C1(C(F)F)O[P-](C)(C)(C)(C)OC1(C(F)F)C(F)F
0.7191682336975981,0.44207352461136584,1,214,CC1(C)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C
0.6916442262141098,-0.5277131534968278,2,215,FCC1(CF)O[P-](CF)(CF)(CF)(CF)OC1(CF)CF
0.5876355744105741,-0.9555557844262037,2,216,CC1(C)O[P-]2(F)(C(F)(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2
0.6624252081547064,-1.3447782287797332,2,217,CC1(C)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C
0.3792965884165165,-0.21734081543833142,2,218,FCC1(CF)O[P-](F)(F)(O(CF))(O(CF))OC1(CF)CF
0.2297033655472077,-1.0361125152141573,2,219,FC(F)C1(C(F)F)O[P-](F)(C)(C)(C)OC1(C(F)F)C(F)F
1.0844985438325336,0.27184774951250856,1,220,N#CC1(C#N)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C#N)C#N
0.3077989634006579,-0.7726330488398272,2,221,FC(F)C1(C(F)F)O[P-](F)(F)(C)(C)OC1(C(F)F)C(F)F
0.678167806240021,-1.6331628405300815,2,222,CC1(C)O[P-]2(O(CF))(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2
0.12214504931278387,-0.9911459834944208,2,223,FC(F)C1(C(F)F)O[P-](F)(F)(F)(C)OC1(C(F)F)C(F)F
1.090796815583366,0.5651464962648223,1,224,N#CC1(C#N)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C#N)C#N
0.006490004988117799,-0.5286785530076177,2,225,N#CC1(C#N)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N
2.1888904892693737,0.556333391987363,4,226,CC1(C)O[P-]2(C(F)F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2
0.24181767300137144,-0.027456479629458585,1,227,FC(F)C1(C(F)F)O[P-](F)(F)(F)(F)OC1(C(F)F)C(F)F
0.5856175214226558,1.5202567677457473,1,228,N#CC1(C#N)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C#N)C#N
1.995931763927657,0.07524103998382813,4,229,N#CC1(C#N)O[P-]2(=O)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2
0.3999834277399581,-0.32765879924548474,2,230,CC1(C)O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C
0.5494970375072797,0.18333859821932336,1,231,CC1(C)O[P-](F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C)C
0.9222028463992019,-0.21561129596054407,1,232,FC(F)C1(C(F)F)O[P-](F)(F)(F)(C#N)OC1(C(F)F)C(F)F
2.2350835904260276,0.03851296177489148,4,233,N#CC1(C#N)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N
0.6305759729048523,-0.6587993342301566,2,234,FCC1(CF)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF
-0.2971556754957592,0.19161568866203238,1,235,FC(F)C1(C(F)F)O[P-](F)(F)(F)(O(C))OC1(C(F)F)C(F)F
0.7609478647380695,0.6130509800431708,1,236,FC(F)C1(C(F)F)O[P-](F)(F)(C#N)(C#N)OC1(C(F)F)C(F)F
0.2525559916176642,-1.3117554200081614,2,237,FCC1(CF)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(CF)CF
-1.2236963796795788,0.6539812148098488,3,238,O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))O(C(F)(F)F)
1.0031532075368863,0.22851786290315085,1,239,N#CC1(C#N)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(C#N)C#N
1.807806506906435,0.12998011210310698,4,240,FC(F)C1(C(F)F)O[P-](F)(C#N)(C#N)(C#N)OC1(C(F)F)C(F)F
2.4173536812292227,1.1625389377522886,4,241,N#CC1(C#N)O[P-]2(F)(F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2
-0.3088145770137555,-0.07055254619543135,2,242,FC(F)C1(C(F)F)O[P-](F)(F)(O(C))(O(C))OC1(C(F)F)C(F)F
0.7190948653699045,-0.7317762833527219,2,243,FC(F)C1(C(F)F)O[P-](F)(F)(F)(N(=O)=O)OC1(C(F)F)C(F)F
-0.7124762073185635,0.0631028746629427,0,244,FC(F)(F)C1(C(F)(F)F)O[P-](=O)(=O)OC1(C(F)(F)F)C(F)(F)F
1.885518129566877,0.2856482101519788,4,245,N#CC1(C#N)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N
1.95048730112427,0.2267472824444819,4,246,FC(F)C1(C(F)F)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C(F)F)C(F)F
