smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2
FCC1(CF)O[P-](=O)(=O)OC1(CF)CF,-147.28726,-4.99548,14.485406,120.312333,116,2,0.072461509633919,-1.4036848705557008
CC1(C)O[P-](F)(F)(CF)(CF)OC1(C)C,-128.78568,-34.94895,7.5812,162.021,117,2,0.0007496893256559524,-0.11460929606828148
CC1(C)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C)C,-106.5371,-15.18955,15.448635,201.138,118,4,1.442717727582559,0.3396902906451659
CC1(C)O[P-](F)(F)(F)(O(CF))OC1(C)C,-142.13111,-32.41732,8.246505,144.644,119,2,-0.3779331839345762,-0.6936159737834753
O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(F)F,-131.08202,-54.27747,3.063749,44.5048,120,3,-1.8279415271629067,0.4910991795701735
CC1(C)O[P-](F)(F)(F)(C(F)F)OC1(C)C,-139.77418,-28.98507,10.517242,143.497333,121,2,-0.24034538116746382,-0.6583424832287726
N#CC1(C#N)O[P-](F)(C)(C)(C)OC1(C#N)C#N,-115.01988,-31.56615,8.332405,189.906,122,1,0.6705997786451772,0.33503388620140984
N#CC1(C#N)O[P-](F)(F)(C)(C)OC1(C#N)C#N,-105.21383,-38.77533,5.64658,165.798,123,1,0.4108878103697109,0.9671164079341038
CC1(C)O[P-](F)(O(C))(O(C))(O(C))OC1(C)C,-156.46451,-39.69907,4.323146,191.432,124,2,-0.40373468845941596,-1.2889210634354802
O=P([O-])(OCC(F)(F)F)OCC(F)(F)F,-148.29546,-24.1765,7.301471,92.068333,125,0,-0.8043317000354002,-0.9844808983657384
COP(=O)([O-])OC(C(F)(F)F)C(F)(F)F,-134.78348,-43.76765,3.7686,91.759,126,0,-1.1069400010876198,-0.0067691618735025195
N#CC1(C#N)O[P-](F)(F)(F)(C)OC1(C#N)C#N,-106.45098,-31.7181,3.276351,143.561,127,1,0.363812525984433,0.8310051714333209
C(F)O[P-](F)(F)(O(CF))(O(CF))O(CF),-127.31999,-38.91513,3.329848,101.174,128,0,-0.713752128090142,0.19138500215647136
CC1(C)O[P-](F)(CF)(CF)(CF)OC1(C)C,-153.5863,-29.31492,11.989812,182.296667,129,2,-0.13321591858103676,-1.3500849835538273
O=P([O-])(F)OC(F)(C(F)(F)F)C(F)(F)F,-131.54905,-40.78844,10.315814,72.064,130,0,-1.156061636254177,0.12506891985747512
O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))F,-139.85611,-22.79504,6.292753,82.446333,131,0,-0.6897250089630558,-0.623328950270512
N#CC1(C#N)O[P-](F)(F)(F)(F)OC1(C#N)C#N,-98.24843,-21.23002,1.350108,123.724,132,1,0.6362526202966097,1.0255749886692407
CC1(C)O[P-](F)(F)(F)(O(C(F)F))OC1(C)C,-139.77416,-28.98512,10.517242,143.497333,133,2,-0.24034644263343136,-0.6583406135468496
O=[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)F,-136.2142,-53.59935,5.223944,74.0506,134,0,-1.6084606956234746,0.1774138083561797
FC(F)[P-](F)(F)(C(F)F)(C(F)F)C(F)F,-117.36551,-50.07094,1.500627,88.621,135,3,-0.9673784376549672,0.8785513777826971
FCC1(CF)O[P-](F)(F)(=O)OC1(CF)CF,-155.51143,-13.54095,14.772984,119.376333,136,2,-0.35757041823024993,-1.5827712353460168
CC1(C)O[P-](F)(F)(F)(C(F)(F)F)OC1(C)C,-132.72234,-28.92318,9.116511,139.847,137,2,-0.13144856193657448,-0.3462773228074817
N#CC1(C#N)O[P-](F)(F)(F)(C#N)OC1(C#N)C#N,-94.75468,-15.91506,3.344715,140.974,138,1,1.0424174588337227,1.0225502079085522
CCOP(=O)([O-])OC(C(F)(F)F)C(F)(F)F,-141.64432,-35.44035,7.580462,108.745,139,0,-0.8273460941171337,-0.5155708539402252
CC1(C)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C)C,-128.24095,-17.19226,13.9122,167.342667,140,2,0.5895846618511084,-0.4636643707014359
N#CC1(C#N)O[P-](F)(F)(F)(O(C))OC1(C#N)C#N,-108.81004,-28.04711,3.706488,144.839,141,1,0.4366507334057567,0.651974289354141
CC1(C)O[P-](CF)(CF)(CF)(CF)OC1(C)C,-142.67137,-35.18103,5.522863,207.798,142,2,0.1812434387818309,-0.8301699174135958
FCC1(CF)O[P-](C)(C)(C)(C)OC1(CF)CF,-127.84494,-39.06177,4.938466,203.988,143,2,0.33199808258372654,-0.10347881972108011
N#CC1(C#N)O[P-](F)(F)(F)(CF)OC1(C#N)C#N,-105.74133,-18.79668,3.82613,142.485333,144,1,0.7476772522296975,0.6037300569311767
N#CC1(C#N)O[P-](F)(F)(C#N)(C#N)OC1(C#N)C#N,-91.52567,-11.0808,4.407759,159.465,145,4,1.4418017379528094,1.0145063276289892
CC1(C)O[P-](F)(F)(O(CF))(O(CF))OC1(C)C,-149.01122,-29.81572,8.922043,164.698,146,2,-0.23563973390164322,-1.0959389120692242
FCC1(CF)O[P-](F)(C)(C)(C)OC1(CF)CF,-164.4714,-34.21172,9.066291,181.18,147,2,-0.5123132393497073,-1.7168409596797962
FCC1(CF)O[P-](F)(F)(C)(C)OC1(CF)CF,-139.6593,-29.28293,6.596377,157.397,148,2,-0.10333856062789955,-0.6845964423262325
CC1(C)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C)C,-130.01432,-33.75688,4.8131,158.544,149,2,-0.025250358265846512,-0.18223872062417665
N#CC1(C#N)O[P-](F)(C#N)(C#N)(C#N)OC1(C#N)C#N,-93.43296,-5.9434,4.72211,179.024,150,4,1.7557072588661653,0.7763984682004386
