smiles,idx
C(F)OC1(O(CF))O[P-](F)(F)(N)(N)OC1(O(CF))O(CF),317
C(F)OC1(O(CF))O[P-](F)(F)(F)(N)OC1(O(CF))O(CF),318
C(F)OC1(O(CF))O[P-]2(O(CF))(O(CF))(OC1(O(CF))O(CF))OC(O(CF))(O(CF))C(O(CF))(O(CF))O2,319
C(F)OC1(O(CF))O[P-]2(F)(O(O(CF)))(OC1(O(CF))O(CF))OC(O(CF))(O(CF))C(O(CF))(O(CF))O2,320
C(F)OC1(O(CF))O[P-]2(O(O(CF)))(O(O(CF)))(OC1(O(CF))O(CF))OC(O(CF))(O(CF))C(O(CF))(O(CF))O2,321
O=C1O[P-](O(O(CF)))(O(O(CF)))(O(O(CF)))(O(O(CF)))OC1=O,322
O=C1O[P-](F)(O(O(CF)))(O(O(CF)))(O(O(CF)))OC1=O,323
O=C1O[P-](F)(F)(O(O(CF)))(O(O(CF)))OC1=O,324
O=C1O[P-](F)(F)(F)(O(O(CF)))OC1=O,325
O=C1O[P-]2(F)(O(O(CF)))(OC1=O)OC(=O)C(=O)O2,326
O=C1O[P-]2(O(O(CF)))(O(O(CF)))(OC1=O)OC(=O)C(=O)O2,327
C(F)O[P-](O(CF))(O(CF))(O(CF))(O(CF))O(CF),328
C(F)O[P-](F)(O(CF))(O(CF))(O(CF))O(CF),329
C(F)O[P-](F)(F)(O(CF))(O(CF))O(CF),330
C(F)O[P-](F)(F)(F)(O(CF))O(CF),331
C(F)O[P-](F)(F)(F)(F)O(CF),332
FC(F)(F)C1(C(F)(F)F)O[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,333
FC(F)(F)C1(C(F)(F)F)O[P-](F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,334
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,335
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,336
FC(F)(F)C1(C(F)(F)F)O[P-](F)(C)(C)(C)OC1(C(F)(F)F)C(F)(F)F,337
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(C)(C)OC1(C(F)(F)F)C(F)(F)F,338
