smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx
O=[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)F,-136.2142,-53.59935,5.223944,74.0506,134
FC(F)[P-](F)(F)(C(F)F)(C(F)F)C(F)F,-117.36551,-50.07094,1.500627,88.621,135
FCC1(CF)O[P-](F)(F)(=O)OC1(CF)CF,-155.51143,-13.54095,14.772984,119.376333,136
CC1(C)O[P-](F)(F)(F)(C(F)(F)F)OC1(C)C,-132.72234,-28.92318,9.116511,139.847,137
N#CC1(C#N)O[P-](F)(F)(F)(C#N)OC1(C#N)C#N,-94.75468,-15.91506,3.344715,140.974,138
CCOP(=O)([O-])OC(C(F)(F)F)C(F)(F)F,-141.64432,-35.44035,7.580462,108.745,139
CC1(C)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C)C,-128.24095,-17.19226,13.9122,167.342667,140
N#CC1(C#N)O[P-](F)(F)(F)(O(C))OC1(C#N)C#N,-108.81004,-28.04711,3.706488,144.839,141
CC1(C)O[P-](CF)(CF)(CF)(CF)OC1(C)C,-142.67137,-35.18103,5.522863,207.798,142
FCC1(CF)O[P-](C)(C)(C)(C)OC1(CF)CF,-127.84494,-39.06177,4.938466,203.988,143
N#CC1(C#N)O[P-](F)(F)(F)(CF)OC1(C#N)C#N,-105.74133,-18.79668,3.82613,142.485333,144
N#CC1(C#N)O[P-](F)(F)(C#N)(C#N)OC1(C#N)C#N,-91.52567,-11.0808,4.407759,159.465,145
CC1(C)O[P-](F)(F)(O(CF))(O(CF))OC1(C)C,-149.01122,-29.81572,8.922043,164.698,146
FCC1(CF)O[P-](F)(C)(C)(C)OC1(CF)CF,-164.4714,-34.21172,9.066291,181.18,147
FCC1(CF)O[P-](F)(F)(C)(C)OC1(CF)CF,-139.6593,-29.28293,6.596377,157.397,148
CC1(C)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C)C,-130.01432,-33.75688,4.8131,158.544,149
N#CC1(C#N)O[P-](F)(C#N)(C#N)(C#N)OC1(C#N)C#N,-93.43296,-5.9434,4.72211,179.024,150
CC1(C)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C)C,-131.51147,-26.16942,9.178319,142.132,151
FCC1(CF)O[P-](F)(F)(F)(C)OC1(CF)CF,-136.48952,-23.241,8.16233,135.161,152
N#CC1(C#N)O[P-](F)(F)(O(C))(O(C))OC1(C#N)C#N,-109.59836,-32.98717,6.227468,166.863,153
N#CC1(C#N)O[P-](F)(F)(F)(N(=O)=O)OC1(C#N)C#N,-102.25482,-9.99484,2.679128,144.803,154
FC(F)(F)[P-](F)(F)(F)(C(F)(F)F)C(F)(F)F,-109.72487,-72.47099,1.398962,69.2048,155
C(F)O[P-](F)(O(CF))(O(CF))(O(CF))O(CF),-139.55276,-13.72991,12.209906,115.843667,156
FCC1(CF)O[P-](F)(F)(F)(F)OC1(CF)CF,-127.47855,-39.56043,2.907087,121.561667,157
N#CC1(C#N)O[P-](F)(F)(CF)(CF)OC1(C#N)C#N,-109.63705,-19.85955,5.809601,161.155333,158
N#CC1(C#N)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C#N)C#N,-90.60128,3.47352,4.324275,199.125,159
N#CC1(C#N)O[P-](F)(F)(F)(O(CF))OC1(C#N)C#N,-105.04249,-27.34412,2.767841,142.099,160
N#CC1(C#N)O[P-](F)(F)(F)(C(F)F)OC1(C#N)C#N,-100.81007,-25.12402,2.218103,140.72,161
O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-127.46412,-52.63336,4.895,86.013333,162
CC1(C)O[P-]2(F)(F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-150.52057,-36.10054,8.204335,229.785,163
FCC1(CF)O[P-](F)(F)(F)(C#N)OC1(CF)CF,-128.41055,-12.60561,13.713679,133.049667,164
N#CC1(C#N)O[P-](F)(O(C))(O(C))(O(C))OC1(C#N)C#N,-124.84786,-32.46053,7.098974,189.947,165
CC1(C)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C)C,-125.63316,-13.23399,14.277394,194.716667,166
FC(F)[P-](F)(C(F)F)(C(F)F)(C(F)F)C(F)F,-117.35016,-42.15895,3.667231,124.097333,167
FCC1(CF)O[P-](F)(F)(F)(O(C))OC1(CF)CF,-136.797,-32.83384,6.80583,136.414667,168
CC1(C)O[P-]2(F)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,-140.42645,-31.65721,11.441704,249.048,169
FCC1(CF)O[P-](F)(F)(F)(CF)OC1(CF)CF,-135.9018,-26.10003,7.361278,133.592,170
FCC1(CF)O[P-](F)(F)(C#N)(C#N)OC1(CF)CF,-111.76528,-6.87778,14.536245,151.379667,171
N#CC1(C#N)O[P-](F)(CF)(CF)(CF)OC1(C#N)C#N,-106.56525,-25.59097,6.999043,182.113,172
CC1(C)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C)C,-153.18008,-27.68518,10.201396,185.626667,173
O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))O(C(F)F),-129.80924,-30.78683,2.955914,101.589667,174
N#CC1(C#N)O[P-](F)(F)(F)(O(C(F)F))OC1(C#N)C#N,-103.0935,-20.80273,3.045094,142.393667,175
N#CC1(C#N)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C#N)C#N,-125.03237,-32.22815,8.730568,213.36,176
CC1(C)O[P-]2(F)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,-148.82847,-37.37332,5.803047,250.279667,177
CC1(C)O[P-]2(C#N)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,-129.25309,-28.31945,13.798463,269.13,178
FCC1(CF)O[P-](F)(C#N)(C#N)(C#N)OC1(CF)CF,-106.12631,-22.12063,12.638097,170.815,179
N#CC1(C#N)O[P-](F)(F)(F)(C(F)(F)F)OC1(C#N)C#N,-94.7168,-20.73479,1.215176,139.489,180
FCC1(CF)O[P-](F)(F)(O(C))(O(C))OC1(CF)CF,-146.33585,-25.03705,8.574796,158.394333,181
CC1(C)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C)C,-140.66044,-26.6678,8.731448,162.187,182
CC1(C)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,-127.63974,-26.57926,7.072182,181.595,183
O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))F,-128.93074,-52.0042,4.676221,62.4105,184
N#CC1(C#N)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,-95.80839,-6.12902,4.0232,168.020333,185
FCC1(CF)O[P-](F)(F)(F)(N(=O)=O)OC1(CF)CF,-136.3962,-6.71355,13.810077,136.444333,186
O=[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F,-127.49048,-57.61755,4.673578,90.8609,187
FC(F)C1(C(F)F)O[P-](=O)(=O)OC1(C(F)F)C(F)F,-145.67938,-4.99408,16.010478,115.841667,188
CC1(C)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C)C,-121.30636,-27.74248,8.018922,155.875,189
FCC1(CF)O[P-](F)(F)(CF)(CF)OC1(CF)CF,-133.94887,-23.21224,8.694008,152.862,190
N#CC1(C#N)O[P-](CF)(CF)(CF)(CF)OC1(C#N)C#N,-100.61419,-12.57121,9.99296,205.242,191
FCC1(CF)O[P-](C#N)(C#N)(C#N)(C#N)OC1(CF)CF,-108.89071,-0.56214,15.30018,191.568,192
O=P([O-])(OCC(F)(F)C(F)F)OCC(F)(F)C(F)F,-134.25174,-14.94464,9.401093,90.375667,193
FCC1(CF)O[P-](F)(F)(F)(O(CF))OC1(CF)CF,-141.03286,-18.5939,10.838416,135.251,194
C(F)O[P-](O(CF))(O(CF))(O(CF))(O(CF))O(CF),-134.7482,-39.90815,3.925833,142.549667,195
N#CC1(C#N)O[P-](F)(F)(O(CF))(O(CF))OC1(C#N)C#N,-110.69145,-19.22549,6.960301,163.779,196
CC1(C)O[P-]2(F)(N(=O)=O)(OC1(C)C)OC(C)(C)C(C)(C)O2,-154.28559,-28.72166,11.600185,250.444667,197
CC1(C)O[P-]2(CF)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,-159.75749,-30.99997,8.960142,272.422,198
N#CC1(C#N)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C#N)C#N,-99.84245,-30.99184,4.905099,151.385667,199
