smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2,functionalgroupscorer,F_count,O_ether_count,NO2_count,CN_count,oxo_or_anion_count,H_count,scscore
FCC1(CF)O[P-](F)(F)(F)(N(=O)=O)OC1(CF)CF,-136.3962,-6.71355,13.810077,136.444333,186,2,0.4118730409552264,-0.9434065593590142,0.5,7,2,1,0,0,8,2.7253687018418185
FC(F)C1(C(F)F)O[P-](=O)(=O)OC1(C(F)F)C(F)F,-145.67938,-4.99408,16.010478,115.841667,188,2,0.0593758698908303,-1.3225352276255615,9.0,8,2,0,0,2,4,2.8656034502972902
FCC1(CF)O[P-](F)(F)(CF)(CF)OC1(CF)CF,-133.94887,-23.21224,8.694008,152.862,190,2,0.145792774542284,-0.5491361054280516,-3.0,8,2,0,0,0,12,2.607500042732869
FCC1(CF)O[P-](F)(F)(F)(O(CF))OC1(CF)CF,-141.03286,-18.5939,10.838416,135.251,194,2,-0.0453569613742221,-0.9000977358390077,-0.5,8,3,0,0,0,10,2.447551545464677
C(F)O[P-](O(CF))(O(CF))(O(CF))(O(CF))O(CF),-134.7482,-39.90815,3.925833,142.549667,195,2,-0.4685332466937616,-0.2190826232111808,-3.0,6,6,0,0,0,12,2.847586077217045
CC1(C)O[P-]2(F)(N(=O)=O)(OC1(C)C)OC(C)(C)C(C)(C)O2,-154.28559,-28.72166,11.600185,250.444667,197,2,0.5730519862930066,-1.5745827163492567,-20.5,1,4,1,0,0,24,3.0831921158169022
CC1(C)O[P-]2(CF)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,-159.75749,-30.99997,8.960142,272.422,198,2,0.6204327833242688,-1.8229822581757145,-24.0,2,4,0,0,0,28,2.8727556778600354
FCC1(CF)O[P-](F)(O(C))(O(C))(O(C))OC1(CF)CF,-148.68139,-11.48619,7.205789,181.431333,200,2,0.4833947779000085,-1.4963500518873656,-9.5,5,5,0,0,0,17,2.875502210925755
CC1(C)O[P-]2(F)(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,-155.67027,-33.79854,7.742842,250.844,201,2,0.3992917925118115,-1.5328238738049085,-21.5,2,5,0,0,0,26,2.716331633694044
CC1(C)O[P-]2(F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-144.75759,-34.44192,7.195099,247.978667,204,2,0.5747694614311699,-1.0424431614568466,-20.0,3,4,0,0,0,25,2.773002302441237
FCC1(CF)O[P-](F)(CF)(CF)(CF)OC1(CF)CF,-157.20585,-29.63348,7.388626,172.31,206,2,-0.3199285763194862,-1.4727254283030389,-5.0,8,2,0,0,0,14,2.5152288918647834
FCC1(CF)O[P-](O(C))(O(C))(O(C))(O(C))OC1(CF)CF,-161.75989,-30.35662,7.663356,204.251333,207,2,-0.105116289919276,-1.73966614185147,-13.0,4,6,0,0,0,20,2.664098884942824
FC(F)C1(C(F)F)O[P-](F)(F)(=O)OC1(C(F)F)C(F)F,-146.24138,-10.47409,14.029734,115.098,209,2,-0.121160223579071,-1.2341713880537688,9.0,10,2,0,0,1,4,2.3751457633720108
CC1(C)O[P-]2(F)(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,-148.43117,-32.86818,8.686837,248.868333,212,2,0.5548786200843098,-1.2347033397607574,-19.5,3,5,0,0,0,25,2.9380903738499864
